side,entry_minute,entry_improve_cents,ttl_minutes,tp_cents,stop_minute,stop_exit_ttl_minutes,stop_exit_improve_cents,max_entry_spread_cents,max_stop_spread_cents,fallback,attempts,fills,fill_rate,exits,exit_rate_given_fill,mean_entry_px_filled,mean_fill_minute,win_rate_given_fill,mean_settle_pnl_cents_per_fill,mean_pnl_cents_per_attempt,mean_pnl_cents_per_fill,ev_cents_per_hour_per_contract
NO,9,1,1,0,13,2,2,40,30,taker_exit,589,336,0.5704584040747029,331,0.9851190476190477,40.083333333333336,9,0.3898809523809524,-1.0952380952380953,-3.0407470288624787,-5.330357142857143,-12.162988115449915
NO,10,0,1,3,11,1,1,40,20,taker_exit,585,300,0.5128205128205128,296,0.9866666666666667,40.68666666666667,10,0.38666666666666666,-2.02,-3.046153846153846,-5.94,-12.184615384615384
NO,9,0,1,0,13,1,0,20,20,taker_exit,562,300,0.5338078291814946,291,0.97,39.14,9,0.36666666666666664,-2.473333333333333,-3.0462633451957295,-5.706666666666667,-12.185053380782918
NO,10,0,1,3,10,1,0,40,20,taker_exit,585,300,0.5128205128205128,296,0.9866666666666667,40.68666666666667,10,0.38666666666666666,-2.02,-3.0478632478632477,-5.943333333333333,-12.19145299145299
NO,10,0,1,3,10,1,1,20,30,taker_exit,561,297,0.5294117647058824,297,1.0,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-3.051693404634581,-5.764309764309765,-12.206773618538325
NO,9,0,1,0,10,1,2,40,30,taker_exit,589,303,0.5144312393887945,301,0.9933993399339934,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-3.0543293718166384,-5.9372937293729375,-12.217317487266554
NO,10,0,1,1,10,2,2,30,30,taker_exit,577,300,0.5199306759098787,300,1.0,40.68666666666667,10,0.38666666666666666,-2.02,-3.0554592720970537,-5.876666666666667,-12.221837088388215
NO,10,0,1,1,10,2,0,20,20,taker_exit,561,297,0.5294117647058824,296,0.9966329966329966,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-3.057040998217469,-5.774410774410774,-12.228163992869876
NO,8,0,2,0,13,1,1,20,30,taker_exit,562,356,0.6334519572953736,351,0.9859550561797753,43.806179775280896,8.176966292134832,0.41853932584269665,-1.952247191011236,-3.0587188612099645,-4.828651685393258,-12.234875444839858
NO,8,0,1,3,13,2,0,20,40,taker_exit,562,293,0.5213523131672598,293,1.0,44.83276450511946,8,0.4300341296928328,-1.8293515358361774,-3.0604982206405693,-5.870307167235495,-12.241992882562277
NO,10,0,1,0,12,1,0,30,30,taker_exit,577,300,0.5199306759098787,299,0.9966666666666667,40.68666666666667,10,0.38666666666666666,-2.02,-3.0606585788561524,-5.886666666666667,-12.24263431542461
NO,10,1,1,0,12,1,1,20,30,taker_exit,561,335,0.5971479500891266,334,0.9970149253731343,41.88059701492537,10,0.4059701492537313,-1.2835820895522387,-3.0623885918003566,-5.128358208955224,-12.249554367201426
NO,8,1,1,2,13,2,2,40,40,taker_exit,590,343,0.5813559322033899,341,0.9941690962099126,45.142857142857146,8,0.4402332361516035,-1.119533527696793,-3.0627118644067797,-5.2682215743440235,-12.250847457627119
NO,8,1,1,3,13,1,2,30,20,taker_exit,584,342,0.5856164383561644,340,0.9941520467836257,45.207602339181285,8,0.4415204678362573,-1.0555555555555556,-3.0633561643835616,-5.230994152046784,-12.253424657534246
NO,10,0,1,3,10,1,0,40,30,taker_exit,585,300,0.5128205128205128,300,1.0,40.68666666666667,10,0.38666666666666666,-2.02,-3.0700854700854703,-5.986666666666666,-12.280341880341881
NO,9,0,1,0,10,1,0,40,30,taker_exit,589,303,0.5144312393887945,301,0.9933993399339934,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-3.0730050933786077,-5.973597359735973,-12.29202037351443
NO,8,1,1,2,13,1,2,30,20,taker_exit,584,342,0.5856164383561644,339,0.9912280701754386,45.207602339181285,8,0.4415204678362573,-1.0555555555555556,-3.078767123287671,-5.257309941520468,-12.315068493150685
NO,9,0,1,0,10,1,1,40,30,taker_exit,589,303,0.5144312393887945,301,0.9933993399339934,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-3.0814940577249574,-5.99009900990099,-12.32597623089983
NO,9,1,1,1,10,1,0,20,20,taker_exit,562,333,0.5925266903914591,329,0.987987987987988,39.966966966966964,9,0.39039039039039036,-0.9279279279279279,-3.0818505338078293,-5.201201201201201,-12.327402135231317
NO,8,0,1,3,13,1,2,20,30,taker_exit,562,293,0.5213523131672598,293,1.0,44.83276450511946,8,0.4300341296928328,-1.8293515358361774,-3.083629893238434,-5.914675767918089,-12.334519572953736
NO,10,0,1,3,11,1,1,30,20,taker_exit,577,300,0.5199306759098787,296,0.9866666666666667,40.68666666666667,10,0.38666666666666666,-2.02,-3.0883882149046795,-5.94,-12.353552859618718
NO,9,0,1,0,13,1,1,30,40,taker_exit,581,303,0.5215146299483648,299,0.9867986798679867,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-3.0929432013769365,-5.930693069306931,-12.371772805507746
NO,10,0,1,2,11,2,1,20,40,taker_exit,561,297,0.5294117647058824,297,1.0,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-3.0944741532976825,-5.845117845117845,-12.37789661319073
NO,10,0,1,2,11,2,1,20,30,taker_exit,561,297,0.5294117647058824,297,1.0,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-3.0944741532976825,-5.845117845117845,-12.37789661319073
NO,8,1,1,2,13,1,0,40,40,taker_exit,590,343,0.5813559322033899,341,0.9941690962099126,45.142857142857146,8,0.4402332361516035,-1.119533527696793,-3.0966101694915253,-5.326530612244898,-12.386440677966101
NO,10,1,1,0,12,1,2,30,40,taker_exit,577,338,0.58578856152513,338,1.0,41.99112426035503,10,0.40236686390532544,-1.7544378698224852,-3.098786828422877,-5.289940828402367,-12.395147313691508
